review,result
"Although the standard allegorical bases for mythical-quest movies are dutifully covered, the obvious similarity of Percy Jackson to the Harry Potter movies inevitably makes it feel somewhat secondhand.",Rotten
"A little bit worse than lifeless; it's clueless, like a Medusa running around with her head cut off.",Rotten
You don't even have to be familiar with the first book in Rick Riordan's popular fantasy series to enjoy Chris Columbus' energetic adaptation.,Fresh
"This is generic filmmaking at its most banal, a simple-minded simplification of a not overwhelmingly complex book.",Rotten
"Kids may well enjoy the adventures of The Lightning Thief on screen, but I think most readers will prefer the movie in their imaginations.",Rotten
An attempt to steal some of Harry Potter's thunder that also stands on its own as a well-made large-scale adventure that works well enough to entertain the teens it's hoping to strike.,Fresh
"With great effects (and a few surprises) it's a fun, Saturday-matinee adventure.",Fresh
Columbus directs with his usual frying pan to the head. Music is forever swelling majestically. Characters are always opening wide their eyes and mouths to gaze in wonder.,Rotten
"While this might not rival the later, better Harry Potter movies or the Lord of the Rings trilogy, it's more fun than you might expect.",Fresh
"Percy Jackson & the Olympians sounds like an Otis Redding cover band. It is, instead, an unofficial cover of the Harry Potter franchise.",Rotten
The movie feels like a cut-rate Potter knockoff with a dash of Ray Harryhausen.,Rotten
"In Columbus' hands, it once again all breaks down into a series of rushed, breathless special-effects setpieces, in a thrill ride that isn't headed anywhere new.",Rotten
The Lightning Thief makes the idea of a sequel seem like an inviting proposition.,Fresh
"Columbus aims at nothing more than providing a rambunctious romp. He nimbly avoids the fate that has snared other film adaptations, like Eragon and Inkheart.",Fresh
gets so many things right that when it goes astray that you kind of wish it hadn't tried in the first place,Rotten
"The Lightning Thief isn't electric, but it generates some spark when it varies the Grecian formula.",Fresh
"Chris Columbus and his crew take a literal approach to spectacle that denies the magnificent use of weirdness and scale that famed stop-action animator Ray Harryhausen brought to such myth-inspired classics as ""Jason and the Argonauts"" (1963)...",Fresh
"Even with all its computer-generated fireballs, it's lukewarm medium-budget blockbustering.",Rotten
"The disappearance of lightning simply is not interesting, and Percy Jackson and the Olympians sounds more like a '70s funk band than a kid's series.",Rotten
Uma Thurman demonstrates she can wear a snake-covered head as gracefully as Pierce Brosnan can trot around with a horse's netherlands.,Fresh
The Greek-gods premise lets the filmmakers indulge in some visually whizzy sequences that keep this rather lightweight action movie entertaining.,Fresh
"Of all the players, Uma Thurman channels the Bride to deliver a Medusa the children won't easily forget when it comes to bedtime.",Fresh
"Enjoyable, nicely paced family adventure with likeable characters, a strong central premise and some decent set-pieces, though the plot's a little hazy in places and the humour doesn't always work.",Fresh
"Action movies of this scale often start off strong and wind down to forgettable finales, but Percy Jackson is the opposite, overcoming a clunky setup to deliver nearly all its thrills in the last half-hour.",Fresh
The Lightning Thief is all crass ineptitude and lost potential. Columbus' infantilizing of any character depth and use of leftover Harry Potter special effects will amuse only the smallest in your pantheon.,Rotten
"The plot is a pretty blatant rehash of the typical ""coming-of-age hero"" tropes. Still, while ""Percy Jackson"" may not end up being the next huge and successful franchise, at the very least, it was an honest and amusing two hours.",Rotten
"Young viewers probably will be entertained but even they are likely to realize that this could have and should have been better, especially by the time they're old enough to drive.",Rotten
It raises issues it doesn't have the balls to resolve by placing them in a context it doesn't have the brains to exploit.,Rotten
Whew boy.,Rotten
My problems with it are the same as with most screen adaptations of young adult novels...they spend so much time struggling to explain the world they're creating that they forget which parts of the story people want to see...they figure that people (kids),Rotten
Sadly worthy of its dumping into the cinematic boneyard of wintry mid-February.,Rotten
"The camera work is frequently pedestrian, the acting is bland, and the jokes often fall flat.",Rotten
Director Chris Columbus has brought together the modern and mythical spheres with sharp pacing and a nifty sense of fun that atone for the film's dippier moments. It's his most enjoyable effort since Harry Potter and the Chamber of Secrets.,Fresh
"Dutifully Potteresque it begins, and dutifully Potteresque it ends.",Rotten
"Has all the CGI sorcery of a Harry Potter pic, but none of the magic.",Rotten
Columbus knows his way around this kind of material even if some of the special effects look like they came from Deep Discount.,Rotten
"Percy Jackson, you are no Harry Potter. You are not fit to walk in a hobbit's wake.",Rotten
Too scary for younger fans of the popular book.,Rotten
The pleasant surprise is how deftly the story translates the myths from their classical idiom into modern ones and without losing the classical flavor,Fresh
"...great fun for the whole family. And if it introduces you and any young readers in your home to the books, so much the better.",Fresh
"Sorry Mr. Jackson, but Harry Potter you ain't.",Rotten
"A clunky kid-sized epic, able to conjure colossal acts of Greek myth wonderment, but never brave enough to shut its pie hole and let the audience process the screen magic.",Rotten
Harry Potter meets Clash of the Titans … The backdrop of Greek mythology makes an enjoyable change of pace from the medieval fantasy magic of the Potter stories.,Fresh
"While winning the award for longest movie title, it is a film that only goes through the motions.",Rotten
Not without bright moments ... but the story is centered around a trio of young actors who simply aren't operating at the same skill level as their older costars.,Fresh
"Built with set pieces that demonstrate a real affection for Greek myth iconography and centered on a strong performance by Logan Lerman (a star in the making), Percy Jackson & The Olympians aims young and hits the target fairly consistently.",Fresh
It's not awful. It's just not particularly inspired. Something tells me this movie won't be inspiring a sequel anytime soon.,Rotten
Parental Content Review,Fresh
"Harry, Ron and Hermione: Relax. You could whip Percy Jackson and his pals with your wand hands tied behind your backs.",Rotten
"The film toggles between high camp and deadly earnestness, all the while threatening to drown in an ocean of not-so-special effects.",Rotten
"Likable as Percy may be, it's not lightning he's stolen.",Rotten
This is a kids' movie: Parents can either get into the silly-suspenseful spirit of it or play Rummikub on their iPhones.,Fresh
"While it certainly isn't terrible, it plays like a low-rent variation of the Harry Potter formula--innocuous but instantly forgettable.",Rotten
All you have at the end of it is an enervating feeling of deja vu.,Rotten
"Like its stars, the film is genial good company.",Fresh
It's apparent that Potter may at last have a worthy successor.,Fresh
"Unfortunately, the movie lacks that good old Potter charm, trading Harry's dark whimsy for a handful of CGI magic beans.",Rotten
"There are lots of cool surprises along the way, and the special effects are fantastic, especially the ones that create Uma Thurman's Medusa snakedo.",Fresh
"Columbus and company have crafted an agreeable mythological jaunt the whole family will enjoy, and while I wouldn't pay more than matinee prices that still means making the quest to the multiplex is a journey worthy of the undertaking.",Fresh
Lerman has a presence even with a mouth full of bad dialogue.,Fresh
This film is replete with plot holes.,Rotten
Some moments of inspired silliness save this escapist adventure from complete dullness.,Rotten
"A dull, scattershot affair that owes much to both X-Men and Greek mythology but which never seems to slow down enough to make any sense whatsoever.",Rotten
...an agreeable fantasy adventure that should leave fans of the genre satisfied.,Fresh
"Director Columbus never quite gets comfortable juggling the film's myriad characters, grandiose-but-stale CGI effects, and PG-friendly battle scenes, speeding headlong through endless plot points rather than taking the time to make any of them matter.",Rotten
"This is what a quality book adaptation should do, stand on it's own, while making you want to explore more. But JESUS! Can we stop the Apple Product Placements! I don't want to see a freaking iPhone in a Fantasy film!!!",Fresh
"Despite so much epic drama in Greek mythology from which to borrow, here we are given little sense of the magnitude of the clash between the quarrelsome gods...",Rotten
"It would be an easy slam review. But if you like big pretty toy commercials, it's plenty of fun.",Fresh
"""It is a bit hard to see quite where Percy Jackson and the Lightening Thief's market lies. Too adult for juveniles, too juvenile for adults.",Fresh
"there's not one single thing in it that will appeal to a person who has ever seen a mythological origin story before, much less any other sort of adventure movie.",Rotten
So trite and ludicrous it is no threat to the Harry Potter franchise,Rotten
...an attempt to replicate the phenomenon that is Harry Potter.,Rotten
I thought it was mischievous and witty and amusing and I was just sort of drawn into it.,Fresh
"Maybe if you're aged between eight and 12, or exceptionally dim-witted, you may not notice that this is a tenth-rate rip-off of Harry Potter, with Greek mythology taking the place of magic.",Rotten
"The technical wizardry is spectacular and the story is taut, pacy and consistently inventive.",Fresh
"The film is a rousing blend of special effects, but not so scary that children aged seven and above will spend the entire movie hiding behind their fingers.",Fresh
Percy Jackson & the Olympians is a dutifully made kids' fantasy film that Columbus handles with the basic approach that he wielded on his faithful but vanilla Harry Potter adaptations.,Rotten
"Chris Columbus was a safe choice behind the lens, and he doesn't throw up any surprises. Columbus brings a measured approach that works on the whole, delivering the expected mix of set-ups, set-pieces and edge of your seat showdowns.",Fresh
"An imaginative, if simplistic, visit to classical Greek mythology, an archetypal quest by a lad with paternal issues.",Fresh
"It's not enough to compensate for the computer-game-style plotting, which is largely based on us picking up narrative nuggets that mechanically slot into place later on.",Rotten
"Kids will love it, and adults may relish Pierce Brosnan's Centaur, and Steve Coogan as Hades - in his personal hell just under Hollywood.",Fresh
A slab of market research in search of an actual movie.,Rotten
"The tone is not always certain, but the special effects are as spectacular as and the mythological underpinning more compelling than anything in the Harry Potter series.",Fresh
Percy Jackson manages to make Greek mythology both fun and exciting and is sure to appeal to its key demographic.,Fresh
"Not bad, but JK Rowling can rest easy.",Fresh
There's plenty of larks to be had from a fast-moving fantasy that doesn't take its mythology too seriously and employs actors who don't look like teenage rabbits in headlights.,Fresh
"While you suspect it's really just a big Clash Of The Titans spoiler, there's enough action in Jackson to make it succeed on its own terms. Lerman's a likeable lead, though it's the game supporting cast that keeps you watching.",Fresh
"It's evidently Potter-ish, but unashamedly aimed at younger viewers - which makes the emphasis on the junior hero's fighting skills and a clearly misguided Las Vegas casino sequence all the more dismaying.",Rotten
"While the Hogwarts saga may be getting long in the tooth, at least it has decent characters and a sense of humour. This has neither.",Rotten
"It is great to see Greek Mythology taking centre stage, even if people must say ""no way"", ""yes way"" when faced with a fire-breathing hydra.",Fresh
Digitisation reigns - spectacular visual effects - while the dialogue drizzles and sploshes.,Rotten
"If they'd played it for laughs it might just have worked, but in fact its earnest tone and digimation effects stick pretty close to the Potter model. We could be in for a very long haul.",Rotten
"Very American, very crass and very underwhelming.",Rotten
"The story is told in bland, episodic fashion with no sense of drama or threat.",Rotten
This ineffably wooden Chris Columbus adaptation of author Rick Riordan's best-seller for young teens has a screenplay that defies description.,Rotten
"It's fantastic fun, it knows its Greek mythology, and it's a very promising start to a franchise. More of the same, please.",Fresh
Remember the first time you saw Harry Potter on the big screen? This is more like the third time you saw him but with bigger effects and Greek mythology replacing the occult.,Fresh
"An awful lot of acting talent goes to waste in this film, but there is barely enough here to marginally satisfy the younger set.",Fresh
The Greek gods had outsized powers and petty grievances. These Gen-Y demigods are no different - it's a whole generation of kids with daddy issues,Rotten
Grand prize goes to Uma Thurman as snake-headed Medusa. It's also a pleasure to see Steve Coogan in hell.,Fresh
"The whole thing is piffle, but it moves fast enough to stay entertaining.",Fresh
"A fun, effects-filled, escapist adventure, with several clever notions: Medusa sells garden statuary as a cover, and the Parthenon in Nashville is home to a hydra.",Fresh
"A safe, bland, test-marketed product made for tween mass consumption. Like most films arriving with ampersands and colons in the title, it's a bore.",Rotten
"It looks like the characters of color in Percy Jackson have been paired off, a remarkable choice in a movie that is, in essence, about the glories of half-breeds.",Rotten
"It's all jolly good fun, rattling along at a perfect pace with enough action setpieces and spectacle to keep both youngsters and adults happy.",Fresh
What surprised me is that I had some affection for an action adventure film the way I would have in the days of the Ray Harryhausen's best films.,Fresh
"Another attempted launch of a teen-aimed franchise, but this show-boat is rowing through the motions. Seen-that, been-there fantasy-epic stuff with dialogue more wooden and hollow than the Trojan Horse.",Rotten
"While this flick may not have Harry Potter's complex world and multiple layers, it also doesn't have the angst and darkness. It replaces them with one thing in bulk: Fun.",Fresh
... a sprightly Harry Potter clone and an eye-candy-coated intro to Greek mythology.,Fresh
click to read full review,Rotten
"Of all the would-be Potter projects that have hit the screen over the years, this is one of more polished and enjoyable ones.",Rotten
"A great family film, with just the right measures of action, mythological allusions, humor, and adventure.",Fresh
"Not a perfect film, but the movie does have a certain passion that a lot of other franchise attempts have lacked. If you like Greek mythology and are looking for an antidote to Clash of the Titans, this may be what you're looking for.",Fresh
Mildly diverting.,Rotten
"Just another mediocre fantasy flick, but if you enjoyed the books, I'm sure you'll enjoy the film.",Rotten
"An enjoyable PG-rated family adventure in its own right, but Columbus' film can't live up to the Potter gold standard, and it strays enough from Riordan's source material to make its tween readership blow a gasket every few minutes. [Blu-ray]",Fresh
Percy Jackson & the Olympians: The Lightning Thief proves to be a satisfying beginning to what is sure to be a promising film franchise.,Fresh
Manages to pay its respects to the Greek myths and actually convey them as fun.,Fresh
It kind of just builds up to a lot of Not Much.,Rotten
"Percy Jackson is simply uninspired in every single meaning of the word. It's probably the crassest, most obviously derivative work of this sort since Eragon.",Rotten
The premise of Percy Jackson & the Olympians: The Lightning Thief holds great potential potential the film never realizes.,Rotten
It provides a great adventure movie for the family audience.,Fresh
The plot uses the presence of the Greek gods as an indistinct outline to influence teenagers who are more interested in the prestige and glamor of their connection than the responsibility that comes with it.,Rotten
"As a former middle school teacher of gifted literature, I value all fairly well-made films for children and parents and this one is in that league.",Fresh
The Lightning Thief is an admirable kid's fantasy.,Fresh
"OK, but only just.",Rotten
There's nothing resembling a spark in this film anywhere.,Rotten
"Like Holofcener's previous pictures, Please Give derives its narrative energy less from a series of plotted incidents than from its keenly observed interplay of clashing personality tics and worldviews.",Fresh
"A muted, almost Rohmer-like moral tale that doesn't quite dive deeply enough into its several characters.",Rotten
"Keener, Peet and Hall all shine as women plagued with self-doubt who respond to those insecurities in strikingly different ways.",Fresh
"An edgy, somber, beautifully written Manhattan fable of guilt, shame, infidelity, death and real estate.",Fresh
"Holofcener always gives us more to chew on than originally meets the eye in her films and she writes female characters with an intelligence, sensitivity and realism that blows the Sex and the City foursome away any day of the week.",Fresh
"The tone is low-key but very funny. Yet, at the same time, the film also manages to have a sardonic edge.",Fresh
"Of a piece with Nicole Holofcener's three other films -- talky, urbane ensemble flicks that elicit quiet but deeply sincere smiles and laughs, and just as often showcase hushed moments of pinprick vulnerability.",Fresh
"A witty and observant comedy of manners, Please Give is another understated gem from writer-director Nicole Holofcener.",Fresh
Solid ensemble work with an especially good Catherine Keener.,Fresh
"It's a tricky kind of social satire, its possibly cloying self-absorption cut only by some winningly awkward characters.",Fresh
"The fourth teaming of gifted indie filmmaker Holofcener and talented actress Keener is a timely, sharply observed, femme-driven serio-comedy about postmodern capitalistic lifestyles with all their joys, guilts, complexities and contradictions.",Fresh
"Ah, the guilt of the privileged.",Rotten
An engagingly high-strung comedy about lack of empathy and the gnawing guilt that can attend it.,Fresh
Holofcener's humorous interest in yupscale entitlem.ent and its discontents mark her as a descendant of Woody Allen,Fresh
"Please Give is specific about its middle-class, white, Manhattan characters but it's also universal in the way one social class' anxieties are understood rather than simply celebrated.",Fresh
One of the best movies ever about guilt as the guardian of our goodness and a sign of our yearning to belong to the larger world.,Fresh
"[Holofcener] has real sympathy -- characters that might have been brittle, mockable creations in another writer-director's hands gain resonance here.",Fresh
"At a time when every penny counts, where do they come up with the money to finance a movie this boring?",Rotten
"Such fine-tuned observation requires the ideal interpreter. Keener has always been Holofcener's muse, and once again offers the sort of fully crafted portrait that reminds us how shallow most movies really are.",Fresh
"With her new film, the poignant and funny Please Give, Holofcener is at the top of her game.",Fresh
"Sometimes -- and far too rarely -- a film will hit all the right notes, with sharp, original dialogue, brilliant casting and an absorbing story. So caught up in its spell, you dread seeing the credits roll. Please Give is that movie.",Fresh
"Listening to the banter in Please Give feels like eavesdropping on natural conversations, shaped and selected by a skilled storyteller.",Fresh
"With the romantic notion of the deceased 'haunting' their furniture..., the director at once adds some ethereal spirituality and an earthbound connection between people and their possessions.",Fresh
"Keener, Peet, and Hall are so strong, so empathetic even at their weakes",Fresh
Some people might find it distasteful to make a movie about guilty rich folks who give themselves permission to splurge. Others will rightly appreciate the honesty.,Fresh
Holofcener's deliciously understated film takes a miniaturist's pleasure in getting the details right.,Fresh
"One of the best movies of the year so far. An insightful, darkly funny and multi-layered character study about class and family.",Fresh
"Few American filmmakers create female characters as realistically funny, attractively imperfect and flat-out annoying as does Ms. Holofcener.",Fresh
"Hardly a treasure, but it offers some modest rewards.",Fresh
Two possible ways of regarding Please Give: It's shallow. Or maybe it's deeply shallow.,Rotten
"If giving is always a relationship, giving also entails taking, whether in business, romance or family interactions.",Fresh
"Please Give is Holofcener's best movie to date. The slender plot presents itself without fuss, a slice of Manhattan life, a la Woody Allen's early, most engaging work.",Fresh
"This gorgeous film, always tender and sometimes dark, is a deeply resonant comic drama that's concerned with nothing less than life, death, love, sex, guilt and the urban logic of mortality.",Fresh
"Fleetingly amusing, charming and harmless with a terrific cast, but often meanders, lacks bite, and unevenly juggles comedy, drama and romance.",Rotten
"Holofcener's touch isn't light, but it is funny in its exploration of materialism and guilt, vanity and aging.",Fresh
"[Although] I think Holofcener's work is always interesting, I think this is the least satisfying of all her films I've seen.",Rotten
"Brutally honest about the way people behave, and often devastatingly funny in its observations.",Fresh
Don't be put off by the bitchy-familiar chick-flick wrapper. This one's a keeper.,Fresh
Funny and heartbreaking.,Fresh
"Forget the dreaded ""Sex and the City 2."" Holofcener's wonderful new film about mammograms, marriage, infidelity, child-rearing and waiting for the old lady next door to die so you can buy her sprawling, pre-WWII apartment is the most sophisticated America",Fresh
"Please Give is a moral comedy that feels at times like one of the late Eric Rohmer's deceptively breezy miniatures, or a mid-period Woody Allen movie - the fussiness.",Fresh
"In its casual, disarming way, it's as deep and as grand a film as you'll find",Fresh
Holofcener explores the contemporary female experience with a camera that is at once empathetic and merciless.,Fresh
This is one of those rare movies that made me want to thank the person who did it.,Fresh
"The movie is about imperfect characters in a difficult world, who mostly do the best they can under the circumstances, but not always. Do you realize what a revolutionary approach that is for a movie these days?",Fresh
"It's a wonderful movie full of people you wish you knew in real life, and like most of Holofcener's movies, it's a remarkable combination of comedy and tragedy.",Fresh
"Please Give is a series of such set-piece scenes, a breezy, though not negligible, exploration of the contest between avarice and empathy.",Fresh
Only Rebecca Hall comes through with a genuineness that rises above Holofcener's doodlings.,Rotten
"Please Give proves that a film can be a spectacularly rewarding experience by just providing time spent with well-written, believable adult characters.",Fresh
It recognizes that a film about unpleasant people need not be unpleasant itself as long as it remembers not to make them uninteresting as well.,Fresh
"As she has in four previous films, Holofcener smartly relies on Keener's talent to create a layered character who is neurotic and often inappropriate, but still good at her core.",Fresh
"Far from challenging, the film consoles the complacent, saying basically that you can do whatever you want, so long as you feel (or pretend to feel) a little guilty about it.",Rotten
"Holofcener has sprinkled in quite a lot of humor, without which the film may have been too overbearing. But it's not, and we enjoy the characters, partly because, in this 90 minute effort, they don't wear out their welcome.",Fresh
"Yet another ramble through the tiny world of the affluent and the idle, a particular fascination of Holofcener's. The only difference this time is the increased emphasis on morbidity.",Rotten
"While Holofcener's scenes are profoundly accurate and wildly amusing, they hit home like a sledge hammer to those of us who share these feelings.",Fresh
The combination of good-nature and light snark [make] Please Give maybe the strongest film of Holofcener's career.,Fresh
"There's nothing wrong with asking audiences to make up their own minds, but Please Give doesn't even ask.",Rotten
Some filmmakers make movies that hold up a mirror to nature. Nicole Holofcener makes seriocomedies that hold up a magnifying glass to human nature.,Fresh
The film's premise yields a story that's insightful and engaging while touching on many other matters of love and money.,Fresh
The characters and their varying viewpoints on the haves and have-nots are entertaining and thought-provoking.,Fresh
There's no movie around right now with a subject more pertinent. It'll hit you hard.,Fresh
Please Give is one of those movies that can be enjoyed simply for its funny portraits of human foibles and fumbling grasps at intimacy -- but it's also deceivingly profound.,Fresh
"It's a movie about guilt and family and what we mean when we say something is valuable, all of which are great subjects.",Fresh
A funny and pointed take of class anxieties from the Woody Allen school,Fresh
"Nobody loves messy, human imperfections quite like writer-director Nicole Holofcener.",Fresh
"There are laughs and moments of pain and many instances of embarrassing (and deeply human) behavior throughout, but there's also delicacy and grace...",Fresh
"Nicole Holofcener is frequently lauded for writing vivid female characters, but such praise doesn't really do justice to her full game.",Fresh
"Touching, intelligent and full of charm and wit.",Fresh
"Please Give is an almost perfectly rendered slice of life, buoyant with wonderful performances.",Fresh
"While the characters contend with their precarious self-images, we can't help but reflect on ourselves as well. To borrow a cautionary phrase about that mirror: 'Objects may appear closer than they are.'",Fresh
A tremendous leap forward for filmmaker Nicole Holofcener...,Fresh
"[The script is] sharp and witty, but never forced, and features some of the best pure dialogue you'll hear this year.",Fresh
"In Please Give, Keener is at her best. Let's hope her creative partnership with Holofcener continues.",Fresh
"While Please Give is a film about conscience, it's also slyly funny, with piercing moments of insight and warmth.",Fresh
"In a Holofcener film, the usual rules of screenwriting do not apply, which lends her work a lifelike quality that's particularly refreshing in this era of formulaic remakes and sequels.",Fresh
"Give thrives because of these professional efforts, which help to mold something strangely poignant and thrillingly neurotic out of a plot that should rightfully be nothing more than a cinematic air horn.",Fresh
"Happily, the joy outweighs the guilt.",Fresh
"Exploring class, generations and misbehaving bodies, Holofcener's dramedy refines its character studies with warmth and wit as she creates warts-and-all individuals whose flawed humanity we warm to.",Fresh
"An indie with real pedigree and smarts, Holofcener's comedy of manners is well-observered and well worth watching.",Fresh
"Maybe things get worse, but movies like this at least make it easier to handle.",Fresh
"There's the rare occasion where the boldness of the dialogue is laid on a little thick and it drags you out of the moment, but it doesn't happen often, and the odd excess is more than forgiveable given just how well the rest of the film works.",Fresh
"Trifles, trivialities, frippery and froth. We've got plenty of words to describe things that don't matter. And now, we also have a film. Please Give.",Rotten
"Beautifully played and sharply-written, the pleasures on offer here are apparently throwaway but the authenticity of the characters freights the story with a light-hearted realism.",Fresh
"Holofcener's biggest ally against nauseating self-pity is Keener, her screen alter ego.",Fresh
"Smart and touching, this is a must for lovers of human drama.",Fresh
Keener manages to flesh out her character more deeply than the sometimes stage-rash behavior Holofcener demands.,Fresh
Starved for whip-smart dialogue and characters who don't behave as though they've just stepped out of a cartoon? Holofcener's latest is guaranteed to please. Give it a look.,Fresh
"Enjoyable, emotionally engaging comedy-drama from writer-director Nicole Holofcener, featuring a sharply written script, likeable characters and terrific performances from a talented ensemble cast.",Fresh
"Funny yet emotional, tragic yet full of hope, this is the type of character-driven story theatergoers could use to see more of, and as like as Holofcener is around here's hope more is exactly what it is we are going to get.",Fresh
"Comes close to justifying the praise it has received -- close, but not entirely.",Fresh
"Holofcener allows her strong ensemble room to really explore their characters. Keener and Hall are the obvious standouts, but fresh-faced Sarah Steele is particularly good in support, as Kate's teenage daughter.",Fresh
"Nothing earth-shaking goes on here, and Holofcener has the good sense not to make her issues seem all that important. This is a lightweight comedy about mostly likable people who are a bit too wrapped up in self-analysis.",Fresh
"Three dimensional characters, direct no nonsense dialogue and a dry sense of humour combine to create an understated thoroughly enjoyable feel-good film that leaves viewers with an invisible glow.",Fresh
Here's a sentence I've typed before: Rebecca Hall is the best thing about this movie. The British actress raises the level of every production she touches.,Fresh
Director/writer Nicole Holofcener goes back east for Please Give. It is an auspicious move.,Fresh
"Compare these wonderfully flawed, beautifully insecure and wholly believable characters with the preprogrammed mannequins seen in such chowderheaded efforts as, say, The Back-Up Plan or Killers, and the contrast is startling.",Fresh
Real joys and sorrows must be bigger and deeper than this.,Rotten
"It ends with this exchange: 'Thank You.' 'You're welcome.' How often do those simple words carry weight in a movie? At that moment, I loved those characters, and I loved this movie.",Fresh
an Upper East Side slice of navel gazing,Rotten
"Nicole Holofcener's lovely Please Give is a small, modest movie, full of the sort of characters we might know, or be.",Fresh
"If you're hoping for huge dramatic payoff or more than mild laughs from cynically satisfying script, then you're panhandling without a Styrofoam cup.",Fresh
This plot less movie lacks any momentum and you get no feeling of empathy or sympathy for any of the characters. The ensemble acting is sound with Guilbert standing out with a nostalgic trip down memory lane for viewers.,Fresh
Ms. Holofcener's observant talky comedy resonates with plenty of oomph as a believable modern-day fable about urban life.,Fresh
Nicole Holofcener creates open-ended characters whose ordinary lives are so fascinating that when the credits roll you're wondering why Transformers gets a sequel and not them.,Fresh
"In both Please Give and Friends with Money, she wrestles with our all-to-human desire for nice things but judiciously avoids ridiculing her characters for sharing a longing that is as universal as it is regrettable.",Fresh
"As Holofcener charts the telling little developments in these randomly connected lives the film offers wry smiles, smart repartee, mild whimsy and some plaintive, poignant moments.",Fresh
"A spiky, sophisticated, grown-up comedy...",Fresh
"Touching: that's what makes Holofcener's films so lovely. They are beady-eyed satires, sure, but they're also fundamentally kind-hearted.",Fresh
"This is a small film, which, if you're open to it, will draw you into the lives of people you quickly forget are fictional.",Fresh
"It sparks laughter by crossing the wires of human motivation, letting you see the hazards that exist in trying to be a good person.",Fresh
"Writer-director Holofcener cleverly keeps the emotions gurgling right under the surface of this engaging interpersonal comedy. It's more about smiles than laughing out loud, but the superior cast members get terrific characters to play with.",Fresh
"A well-written, well-acted dramatic comedy that is light on plot but generous in spirit.",Fresh
"It is well-observed but morally stunted, in that it suggests that charity is just another form of self-medication",Rotten
"Holofcener writes, and helps to shape on-screen, characters we often don't even like, and what do we do? We invite them home with us. Talk about a soft touch.",Fresh
A stroll with these characters is a refreshing break from from the usual film exercises.,Fresh
"Please Give is quintessential Holofcener -- a loopy, episodic ensemble story of women dealing with marriage, money and men, but it's also her smartest, most disciplined movie to date.",Fresh
"Keener, one of the most reliably entertaining actresses currently working, specializes in sardonic, flawed characters -- a perfect fit for Holofcener's image of the modern American woman.",Fresh
"Writer-director Nicole Holofcener seems to get better with every film, and now she's cruising along the well-trodden path of neurotic New Yorker comedy-drama with grace and comely confidence.",Fresh
"Life-goes-on movies usually don't electrify the senses, but this one stimulates moral imagination.",Fresh
"Keener has become Holofcener's artistic alter ego. In Please Give, the sharp-eyed filmmaker sends her vibrant representative out into the world to explore what it means for a woman to be lucky and still feel itchy.",Fresh
"Nicole Holofcener, who writes the most interesting female characters in the movies, delivers another dazzling role to her muse, Catherine Keener, in Please Give, a delightfully dry dramedy about guilt.",Fresh
"The acting quality is strong, especially from the ever-reliable Catherine Keener as Kate, but it's almost impossible to care about her character's dilemmas.",Rotten
Wryly humane,Fresh
